iter	Passed	Remaining
132	8379	54623
133	8398	54279
134	8416	53926
135	8436	53595
136	8461	53298
137	8503	53116
138	8541	52909
139	8577	52692
140	8604	52423
141	8643	52225
142	8681	52028
143	8706	51758
144	8732	51490
145	8767	51284
146	8798	51054
147	8826	50814
148	8872	50673
149	8911	50495
150	8946	50304
151	9025	50354
152	9059	50155
153	9096	49972
154	9126	49754
155	9142	49465
156	9159	49180
157	9174	48893
158	9191	48615
159	9212	48367
160	9229	48098
161	9246	47828
162	9261	47556
163	9277	47293
164	9293	47029
165	9313	46792
166	9331	46544
167	9347	46290
168	9364	46045
169	9378	45791
170	9398	45562
171	9416	45330
172	9434	45101
173	9451	44868
174	9468	44638
175	9484	44404
176	9518	44258
177	9544	44075
178	9561	43855
179	9579	43641
180	9596	43422
181	9614	43212
182	9631	43001
183	9737	43185
184	9797	43163
185	9820	42976
186	9861	42874
187	9895	42739
188	9939	42650
189	10044	42819
190	10080	42698
191	10107	42534
192	10127	42345
193	10146	42156
194	10164	41960
195	10184	41778
196	10203	41590
197	10219	41392
198	10234	41194
199	10250	41000
200	10271	40830
201	10309	40727
202	10353	40647
203	10389	40537
204	10428	40443
205	10456	40304
206	10500	40226
207	10542	40144
208	10643	40284
209	10742	40412
210	10830	40499
211	10913	40566
212	10932	40392
213	10973	40305
214	11005	40183
215	11035	40054
216	11078	39975
217	11123	39902
218	11156	39784
219	11187	39665
220	11219	39549
221	11269	39495
222	11324	39459
223	11359	39352
224	11392	39240
225	11424	39128
226	11454	39004
227	11478	38866
228	11522	38794
229	11554	38681
230	11579	38547
231	11608	38428
232	11647	38341
233	11678	38228
234	11712	38127
235	11741	38011
236	11773	37905
237	11801	37784
238	11838	37695
239	11876	37610
240	11895	37461
241	11912	37313
242	11947	37217
243	11987	37143
244	12022	37048
245	12058	36960
246	12094	36872
247	12134	36795
248	12175	36722
249	12213	36639
250	12246	36543
251	12283	36460
252	12317	36368
253	12340	36244
254	12373	36148
255	12401	36042
256	12421	35910
257	12450	35808
258	12482	35712
259	12513	35615
260	12543	35517
261	12577	35428
262	12616	35355
263	12649	35265
264	12697	35217
265	12727	35121
266	12775	35072
267	12821	35020
268	12855	34934
269	12879	34822
270	12923	34765
271	12957	34680
272	12983	34575
273	13008	34466
274	13043	34388
275	13081	34314
276	13121	34248
277	13166	34195
278	13206	34127
279	13238	34041
280	13272	33959
281	13304	33874
282	13342	33803
283	13388	33754
284	13419	33667
285	13452	33583
286	13470	33464
287	13491	33354
288	13526	33278
289	13557	33191
290	13592	33117
291	13625	33036
292	13653	32946
293	13698	32895
294	13737	32829
295	13781	32777
296	13813	32697
297	13851	32630
298	13881	32544
299	13918	32477
300	13954	32405
301	13980	32312
302	14011	32230
303	14046	32158
304	14081	32086
305	14114	32012
306	14158	31959
307	14190	31883
308	14225	31812
309	14262	31745
310	14295	31671
311	14349	31643
312	14378	31558
313	14422	31510
314	14452	31429
315	14479	31342
316	14511	31266
317	14547	31199
318	14591	31148
319	14622	31072
320	14654	30997
321	14685	30920
322	14717	30848
323	14748	30771
324	14791	30721
325	14828	30657
326	14870	30605
327	14926	30580
328	14964	30520
329	15004	30462
330	15040	30398
331	15068	30318
332	15110	30266
333	15158	30226
334	15211	30195
335	15251	30140
336	15287	30076
337	15340	30045
338	15379	29987
339	15419	29931
340	15458	29875
341	15504	29830
342	15523	29734
343	15559	29670
344	15592	29603
345	15634	29552
346	15674	29497
347	15720	29453
348	15757	29393
349	15783	29312
350	15814	29241
351	15848	29175
352	15889	29122
353	15921	29055
354	15964	29005
355	15999	28942
356	16035	28882
357	16067	28813
358	16099	28746
359	16143	28700
360	16180	28641
361	16295	28719
362	16404	28787
363	16513	28853
364	16614	28905
365	16653	28848
366	16694	28794
367	16736	28743
368	16765	28670
369	16787	28583
370	16837	28545
371	16878	28494
372	16915	28434
373	16954	28378
374	16992	28320
375	17024	28253
376	17058	28188
377	17095	28130
378	17132	28072
379	17176	28024
380	17214	27968
381	17239	27889
382	17262	27809
383	17304	27759
384	17341	27701
385	17372	27634
386	17393	27550
387	17436	27502
388	17460	27425
389	17490	27357
390	17525	27297
391	17562	27239
392	17596	27177
393	17625	27109
394	17659	27047
395	17679	26965
396	17711	26902
397	17741	26835
398	17785	26790
399	17826	26740
